trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.3, 'e': 0.4099999999999995}",25,8,0.7481330452212265,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.40499999999999947}",20,12,-36.334548907927676,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.3, 'e': 0.39999999999999947}",20,9,-20.316357144306465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.3, 'e': 0.39499999999999946}",25,9,-3.289673358760391,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.38999999999999946}",20,9,-9.982241567976057,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.38499999999999945}",25,3,20.470378150484883,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.37999999999999945}",30,0,-16.982916365172386,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.3, 'e': 0.37499999999999944}",25,0,-39.11520861184659,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.3, 'e': 0.36999999999999944}",20,12,15.05331101985869,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.36499999999999944}",20,0,-28.00034819539023,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.35999999999999943}",25,2,-0.7700948529704723,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.3549999999999994}",20,8,11.726038167618746,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.3499999999999994}",35,19,-17.684727311541838,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.3449999999999994}",25,0,23.602149485902686,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
